Product code;Company id;Language;Category;Price;Weight;Product name;Status
PAQ15;104;fr;Gourmandises///Les Spécialités;18.90;1;1Coffret de Pâques 15 brigadeiros assortiment;H
BRIGTART_S;104;fr;Gourmandises///À tartiner///Les Pâtes à tartiner;5.50;2;2Brigadeiro à tartiner 180g;A
BRIGTART_L;104;fr;Gourmandises///À tartiner///Les Pâtes à tartiner;8.00;3;3Brigadeiro à tartiner 320g;A
COEUR;104;fr;Gourmandises///Les Spécialités;16.00;4;4Coffret de brigadeiros Coeur;A
COFFRET16;104;fr;Gourmandises///Les Spécialités;20.00;6;5Coffret prestige 16 brigadeiros;A
Coffret25;104;fr;Gourmandises///Les Spécialités;28.00;5;6Coffret de 25 brigadeiros;A
6023da4c5939c;104;fr;Pâtisseries///Pour pâtisser///Les livres et kits recette;15.00;300.00;7La fabrique de chocolat;A
6023dba86f96b;104;fr;Gourmandises///Les Spécialités;38.00;700.00;8Coffret 36 brigadeiros;A
Atelierbeantobar;104;fr;Pâtisseries///Pour pâtisser///Les ateliers;45.00;0.00;9Atelier Chocolat de la fève à la tablette;A
